BatchIndex,Delta,Damkohler,Sigma,CUM_Steam,Woodloading
0,-3.52887803,0.067576026,0.932560122,25.2,108.666275
1,-4.131134008,0.071670668,1.029626399,26.9,109.853065
2,-3.96485206,0.073103135,1.023653388,27.9,112.92115
3,-3.710637687,0.079739694,0.989072306,28.6,112.257874
4,-3.30775875,0.077854985,0.967256838,25.3,112.399788
5,-5.277394738,0.070873555,1.075905611,26.7,116.213272
6,-3.511141202,0.067820632,0.970785743,26.9,117.029556
7,-3.563817068,0.071205168,0.935903879,26.5,111.388268
8,-4.661247636,0.06389935,1.040068129,27.7,114.829414
9,-3.033337556,0.07578064,0.950992542,27.2,115.271973
10,-3.787660598,0.064231187,0.995623878,26.7,104.679939
11,-3.384188267,0.091122012,0.982054719,27.6,114.9542
12,-2.833822628,0.090612576,0.960642902,24.5,114.630318
13,-5.245236817,0.060928876,1.055716254,26,117.882545
14,-3.837173056,0.068237024,0.933057254,28,115.609314
15,-2.76768676,0.072569101,0.861912133,24,116.425835
16,-4.814264126,0.060527512,1.010503314,28.7,115.745872
17,-5.410312132,0.055933397,0.970730785,27.5,115.602592
18,-5.288377788,0.052786434,1.021649743,28.2,109.669983
19,-3.104727915,0.078658724,0.890251225,25,112.075218
20,-2.087265457,0.099324934,0.921721147,25.6,110.879539
21,-4.762598117,0.062362604,0.987953678,27.5,101.224823
22,-4.131721772,0.072240443,0.997137375,24.9,114.422684
23,-3.260866593,0.075229634,0.946796846,26.4,112.327484
24,-3.733463764,0.068755616,0.941004282,28.2,108.801361
25,-9.400079138,0.04725706,1.199390982,29.8,112.863663
26,-6.119933885,0.055458028,1.023077281,29.8,98.70538
27,-4.952597049,0.070992988,1.072743741,29.7,109.349167
28,-2.874257571,0.09185582,1.017656893,27.6,107.509895
29,-3.432605259,0.070060475,0.969081984,28.1,107.402565
30,-7.35878687,0.058392928,1.100640071,27.4,108.327133
31,-3.124634434,0.129090909,1.164611762,28.2,120.494659
32,-4.034007397,0.066178132,0.933645856,26.4,118.935555
33,-5.430459778,0.050701205,0.954466216,25.1,118.510414
34,-4.996690479,0.057232147,1.151523091,29.7,110.8575
35,-4.157634238,0.065312697,1.074354872,27.1,113.945435
36,-5.372878286,0.060524876,1.012183195,30.7,114.411888
37,-2.650288776,0.108419121,1.043031771,28.2,101.899094
38,-4.268452325,0.067640516,0.939961527,26.5,111.050934
39,-3.062822539,0.096602549,1.030591888,27.6,107.783
40,-1.739326038,0.079841182,1.002582918,27.9,107.254471
41,-3.3888833,0.07608417,1.018537757,27.2,102.891068
42,-3.046140393,0.089375408,0.926836901,26.3,104.90345
43,-1.710496633,0.069779905,1.075580249,29.6,103.958
44,-4.578980339,0.065610343,1.09979755,31.1,106.241074
45,-3.098432376,0.073303055,0.886658265,24.2,101.953316
46,-16.6742836,0.039314823,1.330335597,30.2,104.120033
47,-3.275624045,0.071267713,0.913075147,24.8,107.684479
48,-4.328964514,0.061841629,1.00557412,28.1,109.289856
49,-8.114019334,0.050943326,1.127202629,29.8,111.099007
50,-6.773177659,0.060761411,1.182704699,32.2,103
51,-5.132699139,0.061676875,1.028280395,29.6,111.014793
52,-3.428091689,0.098514055,1.040018532,30.4,111.807442
53,-5.263311095,0.062074867,1.078498246,28.1,109.480247
54,-5.201716375,0.059816659,0.999962803,26.7,111.800377
55,-5.938053485,0.059160205,1.118860323,28,113.250626
56,-3.631751603,0.068192748,0.883828812,24.3,110.365677
57,-2.823037871,0.080711611,0.916665076,25.9,111.274704
58,-2.337830998,0.098197109,0.966908456,26.9,106.230492
59,-4.927740561,0.053789196,0.984756973,29,106.287064
60,-3.720011994,0.067910931,1.037083138,28.6,106.51152
61,-4.013447938,0.069203099,1.037844798,28.2,105.792435
62,-5.856077302,0.056952554,1.099664624,29.9,104.764275
63,-4.131665315,0.072534462,0.994603262,24.8,104.925224
64,-2.96462022,0.086584419,0.953327865,25.3,108.624908
65,-5.150058429,0.059035028,1.068651187,28.8,106.9403
66,-8.197117108,0.052062169,1.151991157,27.7,108.4443
67,-2.7593837,0.070713525,1.286408815,27.5,102.180382
68,-3.857401125,0.051070351,1.240538407,29.3,103.242737
69,-5.837674806,0.058198983,1.050860445,26.5,103.280388
70,-4.633324536,0.06458715,1.054332395,29.8,104.001709
71,-3.667018118,0.0792635,0.963924904,27.6,104.504318
72,-4.697709307,0.062825498,1.002301748,29.8,108.92894
73,-5.329824133,0.060909833,1.004291458,29.4,107.928429
74,-4.232709846,0.071847353,1.016681845,27.9,106.971863
75,-3.334832667,0.068869568,0.942624908,25.2,111.001137
76,-2.753167006,0.087653161,0.922468524,26,110.636551
77,-3.576600186,0.065438919,0.933348948,28,106.800842
78,-2.78540355,0.085633304,1.025573846,27.9,109.116547
79,-3.922684149,0.060952646,0.941343726,27.2,107.471825
80,-1.686517741,0.091364969,0.895267773,24.6,112.974442
81,-4.466515139,0.066470774,0.990831282,28.3,90.2041245
82,-3.601201907,0.0639093,0.879985587,27.8,83.24131
83,-3.112821411,0.072047658,0.940785693,26.3,90.19006
84,-5.579945847,0.062813514,1.103853385,27.3,114.594109
85,-2.794645119,0.080496417,0.878021278,24.5,114.481461
86,-3.427989055,0.072518529,0.930581054,26.7,113.801971
87,-2.345892115,0.089628977,0.880140214,24.9,108.336113
88,-1.919559303,0.102947525,0.874069036,25.1,103.625458
89,-4.486375124,0.068579212,1.030523352,29.3,102.756836
90,-5.910614149,0.058210863,0.954260019,28.1,101.756966
91,-3.351081352,0.073165853,0.934989045,27.9,101.372742
92,-11.00943327,0.049778733,1.080281369,29.5,101.961563
93,-7.046097824,0.052218537,1.139015963,30.1,106.83844
94,-5.470679049,0.054091493,1.019597133,28.8,107.105316
95,-3.51818343,0.083836358,1.054791976,29.7,90.21028
96,-1.361978069,0.176470328,0.910856136,27.4,95.21565
97,-4.098954504,0.064938499,0.974583959,28.5,95.20646
98,-6.237864677,0.060881577,1.094186423,26.2,105.19207
99,-4.494286248,0.069533504,1.037523258,25.6,105.797722
100,-3.647364382,0.061679956,0.955452618,26.4,105.603668
